id,name,kana,romaji,icon,url,workTags,gender,種族タグ,モチーフタグ,属性タグ,職業タグ,小物タグ,身体的特徴タグ
1,赤鐘芙蓉,あかがね ふよう,Akagane Fuyo,image/akagane-fuyo.png,https://mitoristu.wixsite.com/kousaibako,#虹彩箱,女性,鬼,,,,,耳
2,東屋亭久一,あずまやてい きゅういち,Azumayatei Kyuichi,image/azumayatei-kyuichi.png,https://sereinrain113.wixsite.com/999sereinrain,#東屋でお茶でも,男性,人間,,,科学・技術,眼部,髪色|目隠れ
3,アセテート,あせてーと,Acetate,image/acetate.png,https://cloudcatch1224.wixsite.com/godsfoot,#神様の足元,男性,人間|機械,ドラゴン,,科学・技術,,角(つの)|翼|尻尾
4,足立レイ,あだち れい,Adachi Rei,image/adachi-rei.png,https://mechanicalgirl.jp,#足立レイ,女性,機械,,,,耳装備,
5,花鶏音ひわ,あとりね ひわ,Atorine Hiwa,image/atorine-hiwa.png,https://torinosu-hikikomori.jimdofree.com,#ひわわーアラート,女性,人型,鳥類,,,仮面・マスク,翼
6,Adol,あどる,Adol,image/adol.png,https://kuroi9603.wixsite.com/delu-lab-south,#でるらぼ,女性,人間,,,,,
7,アニマ・ライツハット,あにま らいつはっと,Anima Raituhatto,image/anima-raituhatto.png,https://seirentoybox.jimdofree.com,#セレソー作,無性別,バーチャル,,,,眼部,目
8,天使ふあわ,あまつか ふあわ,Amatsuka Fuawa,image/amatsuka-fuawa.png,https://utausuzuminnya.jimdofree.com,#ふあわあーと,女性,人間|天使,,,,,翼
9,雨音うさぎ,あまね うさぎ,Amane Usagi,image/amane-usagi.png,https://sabaneko.amebaownd.com,#雨音うさぎ,女性,人間,哺乳類,,,髪飾り,目|髪型
10,怪子奇,あやしき,Ayashiki,image/ayashiki.png,https://inudanuki.wixsite.com/gottaniomotyabako,#煮バコ,男性,幽霊,,故人,,,髪色
11,泡沫紬,うたかた つむぎ,Utakata Tsumugi,image/utakata-tsumugi.png,https://tourist100f.wixsite.com/utakata-kosyo,#泡沫古書店,女性,人間,,,接客・販売,眼部,
12,唄音ウタ(デフォ子),うたね うた(でふぉこ),Utane Uta(Defoko),image/utane-uta(defoko).png,-,#デフォ子,女性,,,,,耳装備,
13,URUYA,うるや,Uruya,image/uruya.png,https://sites.google.com/view/tokakobo,#透歌工房,女性,フィギュア,哺乳類,,,,尻尾
14,オーロク&小六郎,おーろく & ころくろう,Oroku & korokuro,image/oroku-korokuro.png,https://torinosu-hikikomori.jimdofree.com,#ひわわーアラート,男性,人間|人形,,,舞台・パフォーマンス,,目隠れ
15,お星,おほし,Ohoshi,image/ohoshi.png,https://ichistart.wixsite.com/official/respiaker,#ichistar,女性,天使,,,創作,,髪色
16,鍵合アヤ,かぎあい あや,Kagiai Aya,image/kagiai-aya.png,https://vividseekers.utau.sorairomarch.com,#そらいろマーチ,無性別,バーチャル,,双子,,道具,
17,鍵合スズ,かぎあい すず,Kagiai Suzu,image/kagiai-suzu.png,https://vividseekers.utau.sorairomarch.com,#そらいろマーチ,無性別,バーチャル,,ヤンキー|双子,,道具,
18,​拡音シャノン,かくね しゃのん,Kakune Shanonn,image/kakune-shanonn.png,https://ameutaulii.wixsite.com/telepathycapsule,#拡音シャノン,女性,,,,,髪飾り|道具,
19,重音テッド,かさね てっど,Kasane Teddo,image/kasane-teddo.png,https://kasaneteto.jp,#重音テッド,不明,バーチャル|キメラ,,,,耳装備,
20,重音テト,かさね てと,Kasane Teto,image/kasane-teto.png,https://kasaneteto.jp,#重音テト,不明,バーチャル|キメラ,,,,,
21,化炭ウア,かすみ うあ,Kasumi Ua,image/kasumi-ua.png,https://bowlroll.net/user/980255,#歌う雨やどり,女性,堕天使,,,,,目隠れ|翼
22,カゼヒキ,かぜひき,Kazehiki,image/kazehiki.png,https://kurukuru2suuzi.wixsite.com/kuzutokaze,#くずかぜ,男性,人間,,,宗教・ファンタジー,ヘイロー|首装飾,目隠れ
23,カタバミ,かたばみ,Katabami,image/katabami.png,https://seirentoybox.jimdofree.com,#セレソー作,不明,人間,,双子,,眼部,
24,型番不明,かたばんふめい,Katabanhumei,image/katabanhumei.png,https://moqujc.wixsite.com/mqtop,#MQAW,男性,機械,,,,髪飾り|眼部,目隠れ
25,花撫シア,かなで しあ,Kanade Shia,image/kanade-shia.png,https://itsuriutau.wixsite.com/kanadeshia,#花撫シア,女性,人間,,,芸能,,目|模様・装飾
26,花撫シオン,かなで しおん,Kanade Shion,image/kanade-shion.png,https://itsuriutau.wixsite.com/kanadeshia,#花撫シオン,男性,人間,,,芸能,,模様・装飾
27,歌為にーと,かなり にーと,Kanari Nito,image/kanari-nito.png,https://kinomihautaimas.wixsite.com/dongurihiroba,#きのみあーと,不明,人間,宇宙・天体,ニート,,,
28,空音響歌,からね きょうか,Karane Kyoka,image/karane-kyoka.png,https://kaitoramma.chu.jp,#空音絵巻,女性,人間,,,,,
29,空音ヒビキ,からね ひびき,Karane Hibiki,image/karane-hibiki.png,https://kaitoramma.chu.jp,#空音絵巻,無性別,人間,,,,武器,
30,キエン,きえん,Kiyenn,image/kiyenn.png,https://utaunanaproplus.wixsite.com/of-web,#TNPGateway,女性,人魚,,,,,
31,喜檄わろた,きげき わろた,Kigeki Warota,image/kigeki-warota.png,https://seirentoybox.jimdofree.com,#セレソー作,女性,妖精,,双子,舞台・パフォーマンス,服飾,口元
